OrderDate,RequiredDate,ShippedDate,OrderFreight,OrderShipName,OrderShipAddress,OrderShipCity,OrderShipRegion,OrderShipPostalCode,OrderShipCountry,OrderUnitPrice,OrderQuantity,OrderDiscount,shippercompanyname,ShipperPhone,ProductName,QuantityPerUnitOfProduct,UnitPriceOfProduct,UnitsInStockOfProduct,UnitsOnOrderOfProduct,ProductReorderLevel,DiscontinuedProduct,SupplierCompanyName,SupplierContactName,SupplierContactTitle,SupplierAddress,SupplierCity,SupplierRegion,supplierpostalcode,SupplierCountry,SupplierPhone,SupplierPhone2,SupplierHomePage,CategoryName,CategoryDescription,CategoryPicture
1996-07-08,1996-08-05,1996-07-15,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,16.8,20,0,Speedy Express,(503) 555-9831,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,76,0,0,0,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,64.8,40,0.05,United Package,(503) 555-3199,Sir Rodney's Marmalade,30 gift boxes,81,40,0,0,0,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,,Confections,"Desserts, candies, and sweet breads",""
1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,2,25,0.05,United Package,(503) 555-3199,Geitost,500 g,2.5,112,0,20,0,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,1320,Norway,(0)2-953010,,,Dairy Products,Cheeses,""
1996-07-09,1996-08-06,1996-07-11,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,27.2,40,0,United Package,(503) 555-3199,Camembert Pierrot,15 - 300 g rounds,34,19,0,0,0,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B 3, rue des Alpes",Annecy,,74000,France,38.76.98.06,38.76.98.58,,Dairy Products,Cheeses,""
1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,10,20,0,United Package,(503) 555-3199,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,70,20,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,""
1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,14.4,42,0,United Package,(503) 555-3199,Chartreuse verte,750 cc per bottle,18,69,0,5,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-10,1996-07-24,1996-07-16,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,16,40,0,United Package,(503) 555-3199,Maxilaku,24 - 50 g pkgs.,20,10,60,15,0,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,53120,Finland,(953) 10956,,,Confections,"Desserts, candies, and sweet breads",""
1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,3.6,15,0.15,United Package,(503) 555-3199,Guaraná Fantástica,12 - 355 ml cans,4.5,20,0,0,1,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,,5442,Brazil,(11) 555 4640,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,19.2,21,0.15,United Package,(503) 555-3199,Pâté chinois,24 boxes x 2 pies,24,115,0,20,0,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-9022,,,Meat/Poultry,Prepared meats,""
1996-07-11,1996-08-08,1996-07-23,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,8,21,0,United Package,(503) 555-3199,Longlife Tofu,5 kg pkg.,10,4,20,5,0,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,,Produce,Dried fruit and bean curd,""
1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,15.2,20,0,Federal Shipping,(503) 555-9931,Chang,24 - 12 oz bottles,19,17,40,25,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,13.9,35,0,Federal Shipping,(503) 555-9931,Pavlova,32 - 500 g boxes,17.45,29,0,10,0,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,,Confections,"Desserts, candies, and sweet breads",""
1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,15.2,25,0,Federal Shipping,(503) 555-9931,Inlagd Sill,24 - 250 g  jars,19,112,0,20,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,,Seafood,Seaweed and fish,""
1996-07-12,1996-08-09,1996-07-15,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,44,30,0,Federal Shipping,(503) 555-9931,Raclette Courdavault,5 kg pkg.,55,79,0,0,0,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B 3, rue des Alpes",Annecy,,74000,France,38.76.98.06,38.76.98.58,,Dairy Products,Cheeses,""
1996-07-15,1996-08-12,1996-07-17,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,26.2,15,0,United Package,(503) 555-3199,Perth Pasties,48 pieces,32.8,0,0,0,1,"G'day, Mate",Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia,(02) 555-5914,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,Meat/Poultry,Prepared meats,""
1996-07-15,1996-08-12,1996-07-17,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,10.4,12,0,United Package,(503) 555-3199,Original Frankfurter grüne Soße,12 boxes,13,32,0,15,0,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,35.1,25,0,Federal Shipping,(503) 555-9931,Schoggi Schokolade,100 - 100 g pieces,43.9,49,0,30,0,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstraße 5,Berlin,,10785,Germany,(010) 9984510,,,Confections,"Desserts, candies, and sweet breads",""
1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,14.4,6,0,Federal Shipping,(503) 555-9931,Chartreuse verte,750 cc per bottle,18,69,0,5,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-16,1996-08-13,1996-07-22,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,10.4,15,0,Federal Shipping,(503) 555-9931,Original Frankfurter grüne Soße,12 boxes,13,32,0,15,0,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,15.2,50,0.2,Speedy Express,(503) 555-9831,Chang,24 - 12 oz bottles,19,17,40,25,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,17,65,0.2,Speedy Express,(503) 555-9831,Chef Anton's Gumbo Mix,36 boxes,21.35,0,0,0,1,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-17,1996-08-14,1996-07-23,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,25.6,6,0.2,Speedy Express,(503) 555-9831,Mascarpone Fabioli,24 - 200 g pkgs.,32,9,40,25,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,""
1996-07-18,1996-08-15,1996-07-25,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,8,10,0,Federal Shipping,(503) 555-9931,Sir Rodney's Scones,24 pkgs. x 4 pieces,10,3,40,5,0,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,,Confections,"Desserts, candies, and sweet breads",""
1996-07-18,1996-08-15,1996-07-25,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico,20.8,1,0,Federal Shipping,(503) 555-9931,Gravad lax,12 - 500 g pkgs.,26,11,50,25,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,,Seafood,Seaweed and fish,""
1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,7.7,16,0.25,Speedy Express,(503) 555-9831,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,85,0,10,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,,Seafood,Seaweed and fish,""
1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,15.6,50,0,Speedy Express,(503) 555-9831,Ravioli Angelo,24 - 250 g pkgs.,19.5,36,0,20,0,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,"Via dei Gelsomini, 153",Salerno,,84100,Italy,(089) 6547665,(089) 6547667,,Grains/Cereals,"Breads, crackers, pasta, and cereal",""
1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,39.4,15,0.25,Speedy Express,(503) 555-9831,Tarte au sucre,48 pies,49.3,17,0,0,0,Forêts d'érables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,Québec,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921,,Confections,"Desserts, candies, and sweet breads",""
1996-07-19,1996-08-16,1996-07-29,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,12,21,0.25,Speedy Express,(503) 555-9831,Outback Lager,24 - 355 ml bottles,15,15,10,30,0,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-19,1996-08-16,1996-07-30,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,8,20,0,United Package,(503) 555-3199,Sir Rodney's Scones,24 pkgs. x 4 pieces,10,3,40,5,0,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,,Confections,"Desserts, candies, and sweet breads",""
1996-07-19,1996-08-16,1996-07-30,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,14.4,20,0,United Package,(503) 555-3199,Steeleye Stout,24 - 12 oz bottles,18,20,0,15,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,17,12,0.2,Federal Shipping,(503) 555-9931,Chef Anton's Gumbo Mix,36 boxes,21.35,0,0,0,1,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,#CAJUN.HTM#,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",""
1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,24,15,0,Federal Shipping,(503) 555-9931,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,30,15,0,10,0,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735,(313) 555-3349,,Produce,Dried fruit and bean curd,""
1996-07-22,1996-08-19,1996-07-25,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,30.4,2,0,Federal Shipping,(503) 555-9931,Gnocchi di nonna Alice,24 - 250 g pkgs.,38,21,10,30,0,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,"Via dei Gelsomini, 153",Salerno,,84100,Italy,(089) 6547665,(089) 6547667,,Grains/Cereals,"Breads, crackers, pasta, and cereal",""
1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,13.9,60,0.25,Federal Shipping,(503) 555-9931,Pavlova,32 - 500 g boxes,17.45,29,0,10,0,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,,Confections,"Desserts, candies, and sweet breads",""
1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,3.6,28,0,Federal Shipping,(503) 555-9931,Guaraná Fantástica,12 - 355 ml cans,4.5,20,0,0,1,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,,5442,Brazil,(11) 555 4640,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,20.7,60,0.25,Federal Shipping,(503) 555-9931,Nord-Ost Matjeshering,10 - 200 g glasses,25.89,10,0,15,0,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,,27478,Germany,(04721) 8713,(04721) 8714,,Seafood,Seaweed and fish,""
1996-07-23,1996-08-20,1996-07-31,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,8,36,0.25,Federal Shipping,(503) 555-9931,Longlife Tofu,5 kg pkg.,10,4,20,5,0,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,,Produce,Dried fruit and bean curd,""
1996-07-24,1996-08-21,1996-08-23,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,15.2,35,0,Federal Shipping,(503) 555-9931,Chang,24 - 12 oz bottles,19,17,40,25,1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-24,1996-08-21,1996-08-23,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,7.7,25,0.15,Federal Shipping,(503) 555-9931,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,85,0,10,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,,Seafood,Seaweed and fish,""
1996-07-25,1996-08-22,1996-08-12,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,31.2,30,0,Speedy Express,(503) 555-9831,Alice Mutton,20 - 1 kg tins,39,0,0,0,1,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,,Meat/Poultry,Prepared meats,""
1996-07-25,1996-08-22,1996-08-12,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,12,20,0,Speedy Express,(503) 555-9831,Outback Lager,24 - 355 ml bottles,15,15,10,30,0,"Pavlova, Ltd.",Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-26,1996-09-06,1996-07-31,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,30.4,12,0.05,Federal Shipping,(503) 555-9931,Queso Manchego La Pastora,10 - 500 g pkgs.,38,86,0,0,0,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,,,Dairy Products,Cheeses,""
1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany,14.7,50,0,Speedy Express,(503) 555-9831,Boston Crab Meat,24 - 4 oz tins,18.4,123,0,30,0,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,,Seafood,Seaweed and fish,""
1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany,44,70,0.15,Speedy Express,(503) 555-9831,Raclette Courdavault,5 kg pkg.,55,79,0,0,0,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B 3, rue des Alpes",Annecy,,74000,France,38.76.98.06,38.76.98.58,,Dairy Products,Cheeses,""
1996-07-29,1996-08-26,1996-08-06,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany,14.4,15,0.15,Speedy Express,(503) 555-9831,Lakkalikööri,500 ml,18,57,0,20,0,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,53120,Finland,(953) 10956,,,Beverages,"Soft drinks, coffees, teas, beers, and ales",""
1996-07-30,1996-08-27,1996-08-02,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,99,10,0,Federal Shipping,(503) 555-9931,Thüringer Rostbratwurst,50 bags x 30 sausgs.,123.79,0,0,0,1,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,60439,Germany,(069) 992755,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,Meat/Poultry,Prepared meats,""
1996-07-30,1996-08-27,1996-08-02,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,27.8,4,0,Federal Shipping,(503) 555-9931,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,14,0,0,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,""
1996-07-31,1996-08-14,1996-08-09,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,2,60,0.05,Speedy Express,(503) 555-9831,Geitost,500 g,2.5,112,0,20,0,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,1320,Norway,(0)2-953010,,,Dairy Products,Cheeses,""
1996-07-31,1996-08-14,1996-08-09,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,27.8,20,0.05,Speedy Express,(503) 555-9831,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,14,0,0,0,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,""
1996-08-01,1996-08-29,1996-08-02,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,15.2,30,0,Speedy Express,(503) 555-9831,Inlagd Sill,24 - 250 g  jars,19,112,0,20,0,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,08-123 45 67,,,Seafood,Seaweed and fish,""
